Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Sunrise_min,Sunset_min,Daytime
1,2007-05-15,80,57,69,11,56,61,0,4,432,1904,RA BR,0,M,0.0,0.38,29.13,29.84,8.1,27,12.3,272,1144,872
1,2007-05-16,66,44,55,-4,43,48,10,0,431,1905,RA BR,0,M,0.0,0.14,29.33,30.03,7.8,36,12.2,271,1145,874
1,2007-05-17,62,43,53,-6,32,43,12,0,430,1906, ,0,M,0.0,0.00,29.55,30.27,10.5,3,11.3,270,1146,876
1,2007-05-18,71,42,57,-3,30,46,8,0,429,1907, ,0,M,0.0,0.00,29.53,30.25,5.4,25,7.5,269,1147,878
1,2007-05-19,80,56,68,8,39,53,0,3,428,1908, ,0,M,0.0,0.00,29.34,30.08,11.1,24,11.4,268,1148,880
1,2007-05-20,69,43,56,-5,40,44,9,0,427,1909,RA VCTS,0,M,0.0,0.07,29.38,30.11,10.4,4,10.7,267,1149,882
1,2007-05-21,80,44,62,1,50,56,3,0,426,1910, ,0,M,0.0,0.00,29.33,30.06,6.3,11,8.2,266,1150,884
1,2007-05-22,87,55,71,10,46,58,0,6,425,1911, ,0,M,0.0,0.00,29.34,30.06,10.0,18,10.2,265,1151,886
1,2007-05-23,89,60,75,14,49,61,0,10,425,1912, ,0,M,0.0,0.00,29.39,30.10,11.4,19,11.8,265,1152,887
1,2007-05-24,88,63,76,14,54,63,0,11,424,1913,RA HZ,0,M,0.0,0.02,29.41,30.11,14.9,21,17.3,264,1153,889
1,2007-05-25,70,56,63,1,44,53,2,0,423,1914, ,0,M,0.0,  T,29.51,30.24,4.9,5,8.8,263,1154,891
1,2007-05-26,65,49,57,-5,55,56,8,0,422,1915,TSRA RA BR HZ,0,M,0.0,1.01,29.36,30.11,2.8,17,7.2,262,1155,893
1,2007-05-27,75,57,66,4,47,56,0,1,422,1916,RA BR,0,M,0.0,0.04,29.34,30.06,8.9,26,9.5,262,1156,894
1,2007-05-28,79,50,65,2,47,56,0,0,421,1916,RA,0,M,0.0,  T,29.43,30.15,4.8,10,5.3,261,1156,895
1,2007-05-29,88,60,74,10,58,65,0,9,421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,261,1157,896
1,2007-05-30,87,66,77,13,58,65,0,12,420,1918,HZ,0,M,0.0,0.00,29.31,30.04,10.3,19,10.6,260,1158,898
1,2007-05-31,78,65,72,8,61,65,0,7,420,1919,RA HZ,0,M,0.0,0.01,29.28,30.00,9.3,19,9.9,260,1159,899
1,2007-06-01,85,62,74,10,63,66,0,9,419,1920,TSRA BR HZ,0,M,0.0,0.19,29.19,29.91,4.2,17,6.4,259,1160,901
1,2007-06-02,81,65,73,9,63,67,0,8,419,1920,RA BR,0,M,0.0,0.04,29.03,29.77,6.5,22,7.4,259,1160,901
1,2007-06-03,78,62,70,6,60,63,0,5,418,1921,TSRA RA BR HZ,0,M,0.0,0.01,28.82,29.56,5.2,25,6.7,258,1161,903
1,2007-06-04,71,58,65,1,58,60,0,0,418,1922,TSRA RA BR,0,M,0.0,0.39,28.82,29.52,7.8,31,9.7,258,1162,904
1,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,RA BR,0,M,0.0,0.42,29.10,29.79,5.2,5,7.6,257,1163,906
1,2007-06-06,71,44,58,-8,48,55,7,0,417,1923,RA,0,M,0.0,0.01,29.07,29.81,10.8,17,11.4,257,1163,906
1,2007-06-07,91,71,81,15,62,69,0,16,417,1924, ,0,M,0.0,0.00,28.84,29.55,22.7,20,23.1,257,1164,907
1,2007-06-08,81,57,69,3,53,61,0,4,417,1925, ,0,M,0.0,0.00,29.18,29.85,10.9,28,13.8,257,1165,908
1,2007-06-09,79,52,66,0,47,57,0,1,416,1925, ,0,M,0.0,0.00,29.36,30.07,0.3,33,5.0,256,1165,909
1,2007-06-10,81,55,68,1,51,59,0,3,416,1926, ,0,M,0.0,0.00,29.34,30.05,4.8,17,5.6,256,1166,910
1,2007-06-11,86,58,72,5,52,61,0,7,416,1926, ,0,M,0.0,0.00,29.41,30.11,4.9,11,6.9,256,1166,910
1,2007-06-12,83,62,73,5,50,60,0,8,416,1927, ,0,M,0.0,0.00,29.44,30.16,8.3,5,8.8,256,1167,911
1,2007-06-13,87,60,74,6,53,62,0,9,416,1927, ,0,M,0.0,0.00,29.36,30.09,7.2,5,8.6,256,1167,911
1,2007-06-14,89,64,77,9,55,64,0,12,416,1928, ,0,M,0.0,0.00,29.30,30.02,5.6,5,6.8,256,1168,912
1,2007-06-15,91,63,77,9,56,64,0,12,416,1928, ,0,M,0.0,0.00,29.28,29.99,4.1,6,4.9,256,1168,912
1,2007-06-16,93,66,80,11,60,67,0,15,416,1929,RA HZ,0,M,0.0,  T,29.26,29.97,4.8,28,5.8,256,1169,913
1,2007-06-17,91,70,81,12,64,70,0,16,416,1929,HZ,0,M,0.0,0.00,29.23,29.95,2.8,11,6.3,256,1169,913
1,2007-06-18,89,69,79,9,65,70,0,14,416,1929,TSRA RA HZ,0,M,0.0,0.28,29.12,29.84,14.0,20,15.1,256,1169,913
1,2007-06-19,80,65,73,3,55,63,0,8,416,1930,RA,0,M,0.0,0.58,29.26,29.95,10.7,28,11.4,256,1170,914
1,2007-06-20,84,61,73,3,52,61,0,8,416,1930, ,0,M,0.0,0.00,29.39,30.10,7.8,27,8.8,256,1170,914
1,2007-06-21,77,61,69,-1,51,60,0,4,416,1930,RA,0,M,0.0,0.01,29.36,30.08,3.5,3,10.7,256,1170,914
1,2007-06-22,76,61,69,-1,50,58,0,4,417,1931,RA,0,M,0.0,  T,29.33,30.06,7.8,6,8.7,257,1171,914
1,2007-06-23,67,62,65,-5,58,61,0,0,417,1931,RA BR,0,M,0.0,0.05,29.23,29.96,7.6,12,9.0,257,1171,914
1,2007-06-24,77,63,70,-1,62,65,0,5,417,1931,BR HZ,0,M,0.0,0.00,29.26,29.97,7.0,9,8.0,257,1171,914
1,2007-06-25,89,65,77,6,66,70,0,12,417,1931,BR HZ,0,M,0.0,0.00,29.38,30.07,3.9,14,6.8,257,1171,914
1,2007-06-26,92,70,81,10,69,72,0,16,418,1931,TSRA BR HZ VCTS,0,M,0.0,0.16,29.39,30.11,6.1,22,7.1,258,1171,913
1,2007-06-27,91,71,81,10,70,72,0,16,418,1931,TSRA,0,M,0.0,0.15,29.29,30.02,7.5,24,8.8,258,1171,913
1,2007-06-28,74,58,66,-5,55,60,0,1,419,1931, ,0,M,0.0,0.00,29.41,30.09,11.9,3,12.5,259,1171,912
1,2007-06-29,70,56,63,-8,55,59,2,0,419,1931, ,0,M,0.0,0.00,29.41,30.13,7.6,2,8.3,259,1171,912
1,2007-06-30,79,54,67,-5,46,56,0,2,419,1931, ,0,M,0.0,0.00,29.41,30.13,4.9,3,5.8,259,1171,912
1,2007-07-01,75,54,65,-7,52,58,0,0,420,1931, ,0,M,0.0,0.00,29.51,30.23,8.6,4,8.6,260,1171,911
1,2007-07-02,79,53,66,-6,50,58,0,1,420,1931, ,0,M,0.0,0.00,29.49,30.22,5.9,14,8.1,260,1171,911
1,2007-07-03,83,60,72,0,57,63,0,7,421,1931,TSRA RA BR,0,M,0.0,0.40,29.31,30.06,6.7,21,7.3,261,1171,910
1,2007-07-04,86,67,77,5,65,69,0,12,422,1930,TSRA BR HZ FU,0,M,0.0,0.16,29.18,29.90,4.6,27,8.2,262,1170,908
1,2007-07-05,89,71,80,8,60,67,0,15,422,1930,BR HZ FU,0,M,0.0,0.00,29.24,29.94,6.4,31,8.1,262,1170,908
1,2007-07-06,86,66,76,4,57,64,0,11,423,1930, ,0,M,0.0,0.00,29.32,30.03,3.2,5,5.5,263,1170,907
1,2007-07-07,90,64,77,5,63,69,0,12,423,1930, ,0,M,0.0,0.00,29.18,29.91,8.4,22,8.6,263,1170,907
1,2007-07-08,94,75,85,12,67,72,0,20,424,1929, ,0,M,0.0,0.00,29.05,29.77,12.9,24,13.1,264,1169,905
1,2007-07-09,94,70,82,9,66,70,0,17,425,1929,TSRA RA VCTS,0,M,0.0,0.30,29.11,29.80,4.9,24,8.8,265,1169,904
1,2007-07-10,89,69,79,6,67,70,0,14,425,1929,HZ VCTS,0,M,0.0,0.43,29.06,29.77,8.6,23,10.5,265,1169,904
1,2007-07-11,77,62,70,-3,51,59,0,5,426,1928, ,0,M,0.0,0.00,29.23,29.93,8.8,30,10.9,266,1168,902
1,2007-07-12,80,61,71,-2,51,59,0,6,427,1928, ,0,M,0.0,0.00,29.22,29.93,9.4,29,11.1,267,1168,901
1,2007-07-13,78,58,68,-5,52,58,0,3,428,1927, ,0,M,0.0,0.00,29.26,29.98,1.4,1,5.3,268,1167,899
1,2007-07-14,84,61,73,0,55,62,0,8,428,1927, ,0,M,0.0,0.00,29.08,29.79,8.3,26,13.2,268,1167,899
1,2007-07-15,82,60,71,-3,53,61,0,6,429,1926, ,0,M,0.0,0.00,29.19,29.89,2.1,29,4.9,269,1166,897
1,2007-07-16,82,65,74,0,60,65,0,9,430,1925,RA BR,0,M,0.0,0.39,29.25,29.96,4.4,24,5.2,270,1165,895
1,2007-07-17,83,68,76,2,66,69,0,11,431,1925,RA BR VCTS,0,M,0.0,0.11,29.18,29.90,5.2,23,6.5,271,1165,894
1,2007-07-18,85,69,77,3,68,71,0,12,432,1924,TSRA RA BR VCTS,0,M,0.0,1.55,29.11,29.84,9.1,24,10.1,272,1164,892
1,2007-07-19,83,63,73,-1,63,66,0,8,433,1923,DZ BR,0,M,0.0,0.16,29.21,29.90,7.0,1,11.9,273,1163,890
1,2007-07-20,75,58,67,-7,53,59,0,2,433,1923, ,0,M,0.0,0.00,29.44,30.14,8.6,3,9.1,273,1163,890
1,2007-07-21,74,58,66,-8,52,58,0,1,434,1922, ,0,M,0.0,0.00,29.51,30.22,6.5,3,7.4,274,1162,888
1,2007-07-22,81,58,70,-4,55,61,0,5,435,1921, ,0,M,0.0,0.00,29.49,30.21,1.7,16,3.3,275,1161,886
1,2007-07-23,83,60,72,-2,55,63,0,7,436,1920, ,0,M,0.0,0.00,29.37,30.10,3.2,9,4.0,276,1160,884
1,2007-07-24,82,65,74,0,58,64,0,9,437,1919, ,0,M,0.0,0.00,29.32,30.04,3.1,20,5.2,277,1159,882
1,2007-07-25,85,71,78,4,61,67,0,13,438,1918, ,0,M,0.0,  T,29.29,30.00,5.8,25,6.6,278,1158,880
1,2007-07-26,83,66,75,1,65,68,0,10,439,1918,TS TSRA RA BR HZ,0,M,0.0,0.19,29.19,29.92,7.2,22,9.4,279,1158,879
1,2007-07-27,83,70,77,3,68,70,0,12,440,1917,RA BR HZ,0,M,0.0,0.17,29.11,29.82,3.0,3,7.9,280,1157,877
1,2007-07-28,80,66,73,-1,65,68,0,8,441,1916,BR HZ,0,M,0.0,0.00,29.23,29.93,10.0,3,10.2,281,1156,875
1,2007-07-29,85,63,74,0,57,64,0,9,442,1915, ,0,M,0.0,0.00,29.28,29.99,4.8,5,5.7,282,1155,873
1,2007-07-30,89,62,76,2,55,64,0,11,443,1914, ,0,M,0.0,0.00,29.33,30.03,3.8,6,4.3,283,1154,871
1,2007-07-31,91,68,80,6,61,68,0,15,444,1913, ,0,M,0.0,0.00,29.33,30.04,3.3,4,4.9,284,1153,869
1,2007-08-01,92,69,81,8,62,69,0,16,445,1911,HZ,0,M,0.0,0.00,29.29,30.00,3.5,9,4.1,285,1151,866
1,2007-08-02,91,70,81,8,66,71,0,16,446,1910,HZ,0,M,0.0,0.00,29.26,29.97,5.5,26,5.9,286,1150,864
1,2007-08-03,90,69,80,7,56,66,0,15,447,1909, ,0,M,0.0,0.00,29.31,30.02,2.7,3,5.7,287,1149,862
1,2007-08-04,81,64,73,0,58,64,0,8,448,1908,RA,0,M,0.0,0.03,29.31,30.03,5.7,8,6.1,288,1148,860
1,2007-08-05,88,67,78,5,71,73,0,13,449,1907,TSRA RA BR HZ,0,M,0.0,1.43,29.08,29.81,5.4,21,9.6,289,1147,858
1,2007-08-06,88,74,81,8,72,74,0,16,450,1906,TSRA RA BR HZ,0,M,0.0,0.26,29.13,29.83,1.6,10,4.9,290,1146,856
1,2007-08-07,91,72,82,9,73,76,0,17,451,1904,RA BR,0,M,0.0,1.31,29.06,29.76,6.2,25,9.0,291,1144,853
1,2007-08-08,87,73,80,7,71,73,0,15,452,1903,TSRA RA BR,0,M,0.0,0.06,29.13,29.83,3.0,3,6.9,292,1143,851
1,2007-08-09,84,72,78,5,71,73,0,13,453,1902,TSRA RA,0,M,0.0,0.05,29.13,29.84,2.5,29,6.0,293,1142,849
1,2007-08-10,86,70,78,5,68,72,0,13,454,1900,BR,0,M,0.0,0.00,29.26,29.96,4.5,2,5.9,294,1140,846
1,2007-08-11,89,67,78,5,65,70,0,13,455,1859,BR HZ,0,M,0.0,0.00,29.31,30.02,3.2,19,3.9,295,1139,844
1,2007-08-12,88,67,78,5,67,71,0,13,456,1858,TSRA,0,M,0.0,0.29,29.34,30.06,1.7,6,5.4,296,1138,842
1,2007-08-13,81,65,73,0,57,64,0,8,457,1856,BR,0,M,0.0,0.00,29.39,30.11,6.2,6,6.9,297,1136,839
1,2007-08-14,84,65,75,3,67,70,0,10,458,1855,TS TSRA RA BR,0,M,0.0,0.41,29.23,29.93,5.9,25,8.0,298,1135,837
1,2007-08-15,80,71,76,4,67,70,0,11,459,1854,TSRA RA BR,0,M,0.0,0.23,29.17,29.89,3.4,7,5.8,299,1134,835
1,2007-08-16,77,65,71,-1,64,67,0,6,500,1852,BR,0,M,0.0,0.00,29.28,29.97,3.6,1,5.7,300,1132,832
1,2007-08-17,79,60,70,-2,54,61,0,5,501,1851, ,0,M,0.0,0.00,29.41,30.10,5.9,32,6.8,301,1131,830
1,2007-08-18,68,59,64,-8,54,58,1,0,502,1849,RA,0,M,0.0,0.09,29.44,30.16,6.4,12,8.1,302,1129,827
1,2007-08-19,68,62,65,-6,62,64,0,0,503,1848,TS RA BR,0,M,0.0,1.33,29.24,29.99,6.0,10,7.4,303,1128,825
1,2007-08-20,78,68,73,2,68,69,0,8,504,1846,TSRA RA BR,0,M,0.0,0.91,29.15,29.87,0.5,12,5.7,304,1126,822
1,2007-08-21,87,69,78,7,70,72,0,13,505,1845,BR HZ,0,M,0.0,  T,29.21,29.91,3.8,18,6.0,305,1125,820
1,2007-08-22,90,69,80,9,71,73,0,15,506,1843,TS TSRA RA,0,M,0.0,0.37,29.23,29.94,5.3,21,9.5,306,1123,817
1,2007-08-23,87,69,78,7,69,71,0,13,508,1842,TS TSRA RA BR VCTS,0,M,0.0,2.35,29.15,29.87,9.6,21,11.7,308,1122,814
1,2007-08-24,80,69,75,4,67,69,0,10,509,1840,TSRA RA,0,M,0.0,0.24,29.11,29.82,5.8,25,7.1,309,1120,811
1,2007-08-25,79,64,72,2,63,66,0,7,510,1839,RA,0,M,0.0,0.34,29.23,29.93,3.0,36,5.6,310,1119,809
1,2007-08-26,79,60,70,0,55,61,0,5,511,1837, ,0,M,0.0,0.00,29.38,30.08,3.6,11,5.4,311,1117,806
1,2007-08-27,79,60,70,0,60,64,0,5,512,1835, ,0,M,0.0,0.00,29.36,30.07,6.5,17,7.4,312,1115,803
1,2007-08-28,91,67,79,9,66,70,0,14,513,1834, ,0,M,0.0,0.00,29.28,29.99,9.0,20,9.5,313,1114,801
1,2007-08-29,85,68,77,7,65,69,0,12,514,1832, ,0,M,0.0,  T,29.34,30.04,5.6,3,8.2,314,1112,798
1,2007-08-30,75,57,66,-4,54,60,0,1,515,1831, ,0,M,0.0,0.00,29.47,30.18,9.1,2,9.9,315,1111,796
1,2007-08-31,77,57,67,-2,52,59,0,2,516,1829, ,0,M,0.0,0.00,29.47,30.19,3.9,4,5.2,316,1109,793
1,2007-09-01,81,57,69,1,55,61,0,4,517,1827, ,0,M,0.0,0.00,29.49,30.22,4.2,11,5.0,317,1107,790
1,2007-09-02,85,61,73,5,57,63,0,8,518,1826, ,0,M,0.0,0.00,29.41,30.15,4.2,21,5.0,318,1106,788
1,2007-09-03,88,66,77,9,61,67,0,12,519,1824, ,0,M,0.0,0.00,29.36,30.09,2.0,27,5.8,319,1104,785
1,2007-09-04,89,63,76,8,60,66,0,11,520,1822, ,0,M,0.0,0.00,29.28,30.00,2.8,22,4.3,320,1102,782
1,2007-09-05,90,66,78,11,63,69,0,13,521,1821,RA,0,M,0.0,  T,29.24,29.96,6.4,19,6.5,321,1101,780
1,2007-09-06,82,73,78,11,67,70,0,13,522,1819,RA HZ,0,M,0.0,0.18,29.21,29.92,11.9,20,12.1,322,1099,777
1,2007-09-07,84,70,77,10,68,70,0,12,523,1817,TSRA RA BR HZ,0,M,0.0,0.19,29.15,29.85,10.4,23,13.9,323,1097,774
1,2007-09-08,78,64,71,5,57,63,0,6,524,1815, ,0,M,0.0,0.00,29.30,30.00,6.0,5,7.2,324,1095,771
1,2007-09-09,80,63,72,6,59,63,0,7,525,1814, ,0,M,0.0,0.00,29.36,30.06,9.2,3,9.9,325,1094,769
1,2007-09-10,74,54,64,-2,58,60,1,0,526,1812,RA BR,0,M,0.0,0.36,29.30,30.04,7.2,2,9.0,326,1092,766
1,2007-09-11,71,50,61,-4,44,52,4,0,527,1810, ,0,M,0.0,  T,29.20,29.92,11.7,29,13.5,327,1090,763
1,2007-09-12,67,46,57,-8,42,49,8,0,528,1809, ,0,M,0.0,0.00,29.40,30.12,1.8,3,5.6,328,1089,761
1,2007-09-13,78,50,64,-1,45,54,1,0,529,1807, ,0,M,0.0,0.00,29.23,29.99,8.3,19,8.5,329,1087,758
1,2007-09-14,66,45,56,-8,39,48,9,0,530,1805, ,0,M,0.0,0.00,29.36,30.05,12.1,32,13.4,330,1085,755
1,2007-09-15,61,39,50,-14,33,43,15,0,531,1803, ,0,M,0.0,0.00,29.56,30.28,1.4,33,5.9,331,1083,752
1,2007-09-16,71,44,58,-6,40,49,7,0,532,1760, ,0,M,0.0,0.00,29.46,30.19,6.8,18,7.4,332,1080,748
1,2007-09-17,80,52,66,2,49,57,0,1,533,1758, ,0,M,0.0,0.00,29.39,30.12,11.7,17,12.1,333,1078,745
1,2007-09-18,88,63,76,12,58,65,0,11,535,1756, ,0,M,0.0,0.00,29.34,30.06,12.9,19,13.1,335,1076,741
1,2007-09-19,84,65,75,12,59,65,0,10,536,1755, ,0,M,0.0,0.00,29.41,30.11,5.0,26,9.7,336,1075,739
1,2007-09-20,78,60,69,7,59,63,0,4,537,1753, ,0,M,0.0,0.00,29.39,30.12,5.3,7,6.6,337,1073,736
1,2007-09-21,88,64,76,14,59,66,0,11,538,1751,HZ,0,M,0.0,0.00,29.18,29.90,10.3,21,12.4,338,1071,733
1,2007-09-22,74,51,63,1,43,53,2,0,539,1749, ,0,M,0.0,0.00,29.42,30.12,2.6,3,6.8,339,1069,730
1,2007-09-23,84,50,67,6,50,58,0,2,540,1748, ,0,M,0.0,0.00,29.43,30.16,4.6,13,5.3,340,1068,728
1,2007-09-24,90,68,79,18,63,68,0,14,541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9,341,1066,725
1,2007-09-25,85,63,74,13,65,69,0,9,542,1744,TS RA,0,M,0.0,0.27,29.23,29.95,7.9,23,10.5,342,1064,722
1,2007-09-26,69,53,61,1,50,55,4,0,543,1742,RA,0,M,0.0,0.09,29.31,30.03,4.3,1,6.6,343,1062,719
1,2007-09-27,75,49,62,2,49,55,3,0,544,1741,BR,0,M,0.0,  T,29.26,29.97,4.9,24,6.5,344,1061,717
1,2007-09-28,73,53,63,4,46,53,2,0,545,1739, ,0,M,0.0,0.00,29.47,30.17,2.3,4,7.1,345,1059,714
1,2007-09-29,80,50,65,6,46,55,0,0,546,1737, ,0,M,0.0,0.00,29.50,30.23,9.5,17,9.8,346,1057,711
1,2007-09-30,83,59,71,12,49,59,0,6,547,1735,TSRA BR,0,M,0.0,0.14,29.36,30.10,14.4,19,14.6,347,1055,708
1,2007-10-01,69,59,64,6,59,61,1,0,548,1734,RA DZ FG+ BCFG BR,0,M,0.0,0.29,29.28,30.00,6.1,22,8.1,348,1054,706
1,2007-10-02,78,57,68,10,59,63,0,3,549,1732,RA FG+ MIFG BR,0,M,0.0,0.09,29.18,29.92,10.8,19,11.1,349,1052,703
1,2007-10-03,74,55,65,8,48,56,0,0,550,1730, ,0,M,0.0,0.00,29.28,29.98,5.9,26,7.1,350,1050,700
1,2007-10-04,82,51,67,10,56,61,0,2,552,1729,HZ,0,M,0.0,0.00,29.34,30.04,3.9,17,4.6,352,1049,697
1,2007-10-05,84,62,73,16,65,68,0,8,553,1727,HZ,0,M,0.0,0.00,29.36,30.08,7.0,17,7.0,353,1047,694
1,2007-10-06,87,69,78,22,67,70,0,13,554,1725, ,0,M,0.0,0.00,29.33,30.04,6.9,20,7.4,354,1045,691
1,2007-10-07,87,67,77,21,66,70,0,12,555,1724, ,0,M,0.0,0.00,29.31,30.03,5.2,19,5.9,355,1044,689
1,2007-10-08,87,60,74,18,61,66,0,9,556,1722, ,0,M,0.0,0.00,29.23,29.93,7.7,24,10.1,356,1042,686
1,2007-10-09,76,49,63,8,44,53,2,0,557,1720, ,0,M,0.0,0.00,29.21,29.94,11.5,28,12.8,357,1040,683
1,2007-10-10,54,47,51,-4,38,44,14,0,558,1719,RA DZ,0,M,0.0,  T,29.21,29.93,15.1,31,15.5,358,1039,681
1,2007-10-11,54,46,50,-4,39,45,15,0,559,1717, ,0,M,0.0,0.00,29.28,30.01,11.9,36,12.9,359,1037,678
1,2007-10-12,56,41,49,-5,35,43,16,0,600,1715, ,0,M,0.0,0.00,29.28,30.02,3.4,35,4.6,360,1035,675
1,2007-10-13,59,40,50,-3,41,47,15,0,602,1714, ,0,M,0.0,0.00,29.31,30.04,2.7,20,3.5,362,1034,672
1,2007-10-14,61,53,57,4,49,53,8,0,603,1712,RA,0,M,0.0,0.15,29.34,30.06,5.6,11,6.6,363,1032,669
1,2007-10-15,74,51,63,10,52,57,2,0,604,1711,RA BR,0,M,0.0,0.07,29.21,29.95,4.1,14,5.6,364,1031,667
1,2007-10-16,67,52,60,8,54,57,5,0,605,1709,RA DZ BR,0,M,0.0,0.24,29.16,29.88,6.4,21,7.5,365,1029,664
1,2007-10-17,72,47,60,8,53,57,5,0,606,1707,RA HZ,0,M,0.0,0.04,29.07,29.83,9.3,14,9.8,366,1027,661
1,2007-10-18,78,59,69,18,56,61,0,4,607,1706,RA BR,0,M,0.0,0.30,28.59,29.34,17.2,19,18.9,367,1026,659
1,2007-10-19,60,52,56,5,48,52,9,0,608,1704,RA BR,0,M,0.0,0.01,28.75,29.44,16.2,24,16.7,368,1024,656
1,2007-10-20,73,47,60,10,43,52,5,0,610,1703, ,0,M,0.0,0.00,29.02,29.71,10.9,21,12.0,370,1023,653
1,2007-10-21,80,60,70,20,47,57,0,5,611,1701, ,0,M,0.0,0.00,29.08,29.78,18.0,20,18.2,371,1021,650
1,2007-10-22,67,46,57,7,47,50,8,0,612,1660,RA DZ BR,0,M,0.0,0.16,29.26,29.97,5.2,36,9.2,372,1020,648
1,2007-10-23,58,43,51,2,36,44,14,0,613,1658, ,0,M,0.0,0.00,29.20,29.93,5.2,31,8.2,373,1018,645
1,2007-10-24,55,43,49,0,35,42,16,0,614,1657, ,0,M,0.0,0.00,29.46,30.16,13.3,2,14.5,374,1017,643
1,2007-10-25,55,45,50,2,39,46,15,0,616,1656,RA,0,M,0.0,  T,29.47,30.20,13.9,6,14.1,376,1016,640
1,2007-10-26,65,53,59,11,48,52,6,0,617,1654,RA BR,0,M,0.0,0.33,29.31,30.07,6.2,5,6.9,377,1014,637
1,2007-10-27,55,37,46,-2,38,45,19,0,618,1653,RA BR,0,M,0.0,0.01,29.56,30.25,9.4,32,9.9,378,1013,635
1,2007-10-28,56,34,45,-2,30,39,20,0,619,1651, ,0,M,0.0,0.00,29.79,30.52,3.4,23,4.2,379,1011,632
1,2007-10-29,61,39,50,3,32,42,15,0,620,1650, ,0,M,0.0,0.00,29.63,30.40,10.2,22,10.4,380,1010,630
1,2007-10-30,66,41,54,8,38,46,11,0,622,1649, ,0,M,0.0,0.00,29.43,30.20,12.2,20,12.5,382,1009,627
1,2007-10-31,62,41,52,6,37,46,13,0,623,1647, ,0,M,0.0,0.00,29.30,30.02,12.2,25,14.3,383,1007,624
1,2008-05-01,74,48,61,8,51,56,4,0,448,1849, ,0,M,0.0,0.00,28.95,29.67,10.6,16,11.5,288,1129,841
1,2008-05-02,74,51,63,9,55,58,2,0,447,1850,TSRA RA BR,0,M,0.0,1.28,28.79,29.53,13.8,20,15.1,287,1130,843
1,2008-05-03,56,43,50,-4,41,46,15,0,446,1851,RA,0,M,0.0,  T,29.01,29.69,10.4,25,12.7,286,1131,845
1,2008-05-04,65,38,52,-2,34,45,13,0,444,1852, ,0,M,0.0,0.00,29.31,30.02,5.6,24,6.3,284,1132,848
1,2008-05-05,75,50,63,8,38,50,2,0,443,1853, ,0,M,0.0,0.00,29.27,29.99,4.4,26,7.0,283,1133,850
1,2008-05-06,81,46,64,9,44,55,1,0,442,1855, ,0,M,0.0,0.00,29.16,29.88,6.3,22,7.1,282,1135,853
1,2008-05-07,70,49,60,5,52,56,5,0,441,1856,RA BR,0,M,0.0,0.76,28.97,29.69,3.5,23,12.3,281,1136,855
1,2008-05-08,59,45,52,-4,35,44,13,0,439,1857, ,0,M,0.0,0.00,29.08,29.82,12.2,5,12.6,279,1137,858
