Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Daytime,Sunrise_min,Sunset_min
2,2007-07-17,83,69,76,M,65,69,0,11,431,1925,RA BR,M,M,M,0.11,29.24,29.89,6.3,23,7.4,894,271,1165
2,2007-07-18,85,69,77,M,69,71,0,12,432,1924,TS TSRA RA BR HZ VCTS,M,M,M,0.92,29.18,29.83,10.3,24,10.6,892,272,1164
2,2007-07-19,82,63,73,M,62,66,0, 8,433,1923,BR HZ,M,M,M,0.01,29.26,29.88,7.7,36,14.4,890,273,1163
2,2007-07-20,74,62,68,M,52,59,0, 3,433,1923, ,M,M,M,0.00,29.49,30.12,11.3,4,11.5,890,273,1163
2,2007-07-21,75,58,67,M,52,59,0, 2,434,1922, ,M,M,M,0.00,29.57,30.21,5.8,4,7.4,888,274,1162
2,2007-07-22,81,61,71,M,54,61,0, 6,435,1921, ,M,M,M,0.00,29.54,30.20,1.9,18,3.5,886,275,1161
2,2007-07-23,82,63,73,M,55,63,0, 8,436,1920, ,M,M,M,0.00,29.42,30.09,2.9,12,3.9,884,276,1160
2,2007-07-24,82,65,74,M,57,64,0, 9,437,1919, ,M,M,M,  T,29.38,30.03,1.1,21,4.9,882,277,1159
2,2007-07-25,83,70,77,M,60,66,0,12,438,1918, ,M,M,M,0.00,29.35,29.99,6.4,23,7.0,880,278,1158
2,2007-07-26,84,64,74,M,65,68,0, 9,439,1918,TS TSRA BR HZ,M,M,M,0.89,29.25,29.91,7.2,22,9.9,879,279,1158
2,2007-07-27,83,70,77,M,67,70,0,12,440,1917,RA BR HZ,M,M,M,0.04,29.16,29.80,1.2,36,8.1,877,280,1157
2,2007-07-28,80,70,75,M,65,68,0,10,441,1916,BR HZ,M,M,M,0.00,29.28,29.91,10.6,3,10.7,875,281,1156
2,2007-07-29,85,67,76,M,56,64,0,11,442,1915, ,M,M,M,0.00,29.34,29.97,6.3,5,6.9,873,282,1155
2,2007-07-30,86,65,76,M,57,65,0,11,443,1914, ,M,M,M,0.00,29.39,30.01,3.1,6,4.6,871,283,1154
2,2007-07-31,89,69,79,M,60,68,0,14,444,1913, ,M,M,M,0.00,29.39,30.02,4.0,7,5.0,869,284,1153
2,2007-08-01,91,69,80,M,63,70,0,15,445,1911, ,M,M,M,0.00,29.34,29.98,2.1,13,3.7,866,285,1151
2,2007-08-02,91,73,82,M,66,72,0,17,446,1910, ,M,M,M,0.00,29.31,29.95,6.5,23,7.2,864,286,1150
2,2007-08-03,88,73,81,M,58,67,0,16,447,1909, ,M,M,M,0.00,29.36,30.00,3.3,6,5.8,862,287,1149
2,2007-08-04,81,68,75,M,58,65,0,10,448,1908,RA,M,M,M,0.02,29.36,30.01,5.9,9,6.6,860,288,1148
2,2007-08-05,88,68,78,M,71,72,0,13,449,1907,TSRA RA BR VCTS,M,M,M,0.97,29.15,29.79,7.0,22,10.2,858,289,1147
2,2007-08-06,85,75,80,M,72,74,0,15,450,1906,TS TSRA BR HZ,M,M,M,0.05,29.17,29.81,2.6,10,4.6,856,290,1146
2,2007-08-07,92,73,83,M,73,76,0,18,451,1904,VCTS,M,M,M,0.06,29.11,29.74,6.3,24,8.8,853,291,1144
2,2007-08-08,87,74,81,M,72,74,0,16,452,1903,TSRA RA DZ BR HZ,M,M,M,0.09,29.18,29.81,1.5,4,6.4,851,292,1143
2,2007-08-09,85,73,79,M,71,73,0,14,453,1902,TSRA BR HZ,M,M,M,0.46,29.19,29.82,3.1,27,6.3,849,293,1142
2,2007-08-10,86,73,80,M,69,72,0,15,454,1900, ,M,M,M,0.00,29.32,29.94,3.0,6,5.4,846,294,1140
2,2007-08-11,88,68,78,M,65,70,0,13,455,1859,BR HZ,M,M,M,0.00,29.38,30.00,3.1,20,3.9,844,295,1139
2,2007-08-12,87,68,78,M,67,70,0,13,456,1858,TSRA,M,M,M,0.23,29.40,30.04,1.9,6,6.6,842,296,1138
2,2007-08-13,80,69,75,M,54,63,0,10,457,1856, ,M,M,M,0.00,29.44,30.08,6.9,8,7.7,839,297,1136
2,2007-08-14,84,65,75,M,66,69,0,10,458,1855,TSRA RA BR,M,M,M,0.45,29.29,29.92,6.4,23,9.0,837,298,1135
2,2007-08-15,81,72,77,M,69,71,0,12,459,1854,TS TSRA RA BR,M,M,M,0.83,29.23,29.87,4.9,6,7.1,835,299,1134
2,2007-08-16,77,67,72,M,65,68,0, 7,500,1852,BR,M,M,M,0.00,29.33,29.95,3.5,1,5.7,832,300,1132
2,2007-08-17,80,65,73,M,54,62,0, 8,501,1851, ,M,M,M,0.00,29.46,30.08,6.1,31,7.4,830,301,1131
2,2007-08-18,69,60,65,M,54,58,0, 0,502,1849,RA,M,M,M,0.42,29.48,30.15,6.1,13,7.0,827,302,1129
2,2007-08-19,69,62,66,M,63,64,0, 1,503,1848,TS RA BR,M,M,M,1.33,29.30,29.98,5.5,10,7.5,825,303,1128
2,2007-08-20,76,68,72,M,69,70,0, 7,504,1846,TS TSRA RA BR HZ,M,M,M,0.48,29.21,29.85,2.4,20,5.9,822,304,1126
2,2007-08-21,85,69,77,M,70,72,0,12,505,1845,BR,M,M,M,0.01,29.26,29.89,3.5,17,6.0,820,305,1125
2,2007-08-22,90,70,80,M,70,73,0,15,506,1843,TSRA RA BR,M,M,M,0.88,29.29,29.93,5.1,21,8.4,817,306,1123
2,2007-08-23,89,70,80,M,69,71,0,15,508,1842,TS TSRA BR,M,M,M,1.96,29.21,29.86,6.7,21,9.1,814,308,1122
2,2007-08-24,81,69,75,M,67,69,0,10,509,1840,TS TSRA RA BR,M,M,M,0.20,29.16,29.81,5.5,25,7.3,811,309,1120
2,2007-08-25,76,65,71,M,63,66,0, 6,510,1839,RA BR,M,M,M,0.25,29.29,29.91,2.4,3,6.4,809,310,1119
2,2007-08-26,78,61,70,M,55,62,0, 5,511,1837, ,M,M,M,0.00,29.44,30.07,3.7,11,4.6,806,311,1117
2,2007-08-27,79,63,71,M,59,64,0, 6,512,1835, ,M,M,M,0.00,29.41,30.06,6.4,16,7.3,803,312,1115
2,2007-08-28,90,69,80,M,65,70,0,15,513,1834, ,M,M,M,0.00,29.34,29.98,7.8,21,8.3,801,313,1114
2,2007-08-29,86,69,78,M,64,69,0,13,514,1832, ,M,M,M,  T,29.39,30.02,5.3,3,8.8,798,314,1112
2,2007-08-30,75,60,68,M,54,61,0, 3,515,1831, ,M,M,M,0.00,29.51,30.15,10.8,3,10.9,796,315,1111
2,2007-08-31,76,57,67,M,54,60,0, 2,516,1829, ,M,M,M,0.00,29.52,30.17,3.0,6,4.6,793,316,1109
2,2007-09-01,79,60,70,M,56,62,0, 5,517,1827, ,M,M,M,0.00,29.54,30.20,4.4,11,4.4,790,317,1107
2,2007-09-02,84,62,73,M,56,63,0, 8,518,1826, ,M,M,M,0.00,29.47,30.13,4.8,21,6.0,788,318,1106
2,2007-09-03,88,64,76,M,61,67,0,11,519,1824, ,M,M,M,0.00,29.42,30.07,3.0,25,6.2,785,319,1104
2,2007-09-04,90,67,79,M,59,67,0,14,520,1822, ,M,M,M,0.00,29.34,29.99,2.2,24,5.0,782,320,1102
2,2007-09-05,91,72,82,M,62,69,0,17,521,1821, ,M,M,M,0.00,29.31,29.94,6.4,19,6.7,780,321,1101
2,2007-09-06,84,74,79,M,66,70,0,14,522,1819,TSRA HZ,M,M,M,0.08,29.27,29.91,12.8,20,13.0,777,322,1099
2,2007-09-07,84,71,78,M,67,70,0,13,523,1817,TSRA RA BR HZ,M,M,M,0.67,29.21,29.84,9.5,23,13.0,774,323,1097
2,2007-09-08,78,68,73,M,58,64,0, 8,524,1815, ,M,M,M,0.00,29.34,29.98,8.4,5,9.4,771,324,1095
2,2007-09-09,79,63,71,M,59,64,0, 6,525,1814, ,M,M,M,0.00,29.41,30.03,10.1,3,10.9,769,325,1094
2,2007-09-10,73,55,64,M,59,62,1, 0,526,1812,RA,M,M,M,0.25,29.34,30.01,7.4,3,9.7,766,326,1092
2,2007-09-11,71,51,61,M,44,52,4, 0,527,1810, ,M,M,M,  T,29.26,29.91,12.1,29,13.7,763,327,1090
2,2007-09-12,66,46,56,M,43,50,9, 0,528,1809, ,M,M,M,0.00,29.46,30.11,1.9,5,6.0,761,328,1089
2,2007-09-13,79,53,66,M,43,54,0, 1,529,1807, ,M,M,M,0.00,29.30,29.98,7.1,20,7.7,758,329,1087
2,2007-09-14,67,47,57,M,40,49,8, 0,530,1805, ,M,M,M,0.00,29.41,30.04,11.7,32,13.0,755,330,1085
2,2007-09-15,62,42,52,M,35,45,13, 0,531,1803, ,M,M,M,0.00,29.62,30.28,1.1,35,6.6,752,331,1083
2,2007-09-16,72,49,61,M,38,50,4, 0,532,1760, ,M,M,M,0.00,29.52,30.20,7.7,18,8.2,748,332,1080
2,2007-09-17,80,55,68,M,48,57,0, 3,533,1758, ,M,M,M,0.00,29.46,30.12,10.6,17,11.0,745,333,1078
2,2007-09-18,89,66,78,M,57,65,0,13,535,1756, ,M,M,M,0.00,29.41,30.05,12.5,19,12.8,741,335,1076
2,2007-09-19,84,68,76,M,59,65,0,11,536,1755, ,M,M,M,0.00,29.47,30.09,3.5,25,9.0,739,336,1075
2,2007-09-20,76,63,70,M,59,64,0, 5,537,1753, ,M,M,M,0.00,29.44,30.10,5.6,8,6.1,736,337,1073
2,2007-09-21,90,68,79,M,59,66,0,14,538,1751,HZ,M,M,M,0.00,29.23,29.89,9.8,22,11.5,733,338,1071
2,2007-09-22,72,58,65,M,45,55,0, 0,539,1749, ,M,M,M,0.00,29.48,30.10,4.3,1,7.7,730,339,1069
2,2007-09-23,83,55,69,M,50,59,0, 4,540,1748, ,M,M,M,0.00,29.49,30.15,5.9,12,6.4,728,340,1068
2,2007-09-24,91,71,81,M,62,69,0,16,541,1746, ,M,M,M,0.00,29.34,29.98,10.0,19,10.5,725,341,1066
2,2007-09-25,83,67,75,M,66,69,0,10,542,1744,TSRA,M,M,M,0.01,29.29,29.93,7.3,23,9.4,722,342,1064
2,2007-09-26,68,55,62,M,51,56,3, 0,543,1742,RA BR,M,M,M,0.14,29.37,30.02,4.8,2,7.3,719,343,1062
2,2007-09-27,74,52,63,M,49,55,2, 0,544,1741,RA BCFG BR,M,M,M,  T,29.31,29.97,4.5,25,5.8,717,344,1061
2,2007-09-28,73,53,63,M,46,54,2, 0,545,1739, ,M,M,M,0.00,29.52,30.16,3.1,7,6.6,714,345,1059
2,2007-09-29,82,52,67,M,45,55,0, 2,546,1737, ,M,M,M,0.00,29.57,30.23,8.4,17,8.8,711,346,1057
2,2007-09-30,84,61,73,M,48,59,0, 8,547,1735,TSRA BR,M,M,M,0.14,29.44,30.10,12.9,19,13.2,708,347,1055
2,2007-10-01,68,59,64,M,59,61,1, 0,548,1734,RA BR,M,M,M,0.17,29.35,30.00,7.9,21,8.9,706,348,1054
2,2007-10-02,80,59,70,M,59,63,0, 5,549,1732,RA BR,M,M,M,0.11,29.25,29.92,10.0,19,10.3,703,349,1052
2,2007-10-03,74,56,65,M,47,56,0, 0,550,1730, ,M,M,M,  T,29.34,29.97,4.8,25,7.1,700,350,1050
2,2007-10-04,83,56,70,M,56,62,0, 5,552,1729, ,M,M,M,0.00,29.39,30.03,4.6,17,5.9,697,352,1049
2,2007-10-05,85,68,77,M,65,69,0,12,553,1727,RA BR,M,M,M,0.06,29.42,30.06,6.8,18,7.0,694,353,1047
2,2007-10-06,88,71,80,M,66,71,0,15,554,1725, ,M,M,M,0.00,29.39,30.03,6.4,21,6.7,691,354,1045
2,2007-10-07,88,70,79,M,65,70,0,14,555,1724, ,M,M,M,0.00,29.38,30.01,5.3,19,5.9,689,355,1044
2,2007-10-08,88,62,75,M,60,66,0,10,556,1722, ,M,M,M,0.00,29.28,29.92,7.3,24,9.9,686,356,1042
2,2007-10-09,77,50,64,M,44,53,1, 0,557,1720, ,M,M,M,0.00,29.27,29.93,12.1,28,13.3,683,357,1040
2,2007-10-10,53,47,50,M,37,44,15, 0,558,1719, ,M,M,M,  T,29.26,29.93,14.4,31,14.6,681,358,1039
2,2007-10-11,56,48,52,M,39,45,13, 0,559,1717, ,M,M,M,0.00,29.34,30.00,14.6,36,15.5,678,359,1037
2,2007-10-12,57,45,51,M,35,43,14, 0,600,1715, ,M,M,M,0.00,29.34,30.02,2.8,36,5.4,675,360,1035
2,2007-10-13,59,44,52,M,40,47,13, 0,602,1714, ,M,M,M,0.00,29.38,30.04,3.6,21,4.7,672,362,1034
2,2007-10-14,63,55,59,M,47,52,6, 0,603,1712,RA,M,M,M,0.01,29.40,30.06,5.7,12,6.0,669,363,1032
2,2007-10-15,77,55,66,M,50,57,0, 1,604,1711,RA,M,M,M,0.04,29.26,29.94,6.6,16,6.9,667,364,1031
2,2007-10-16,68,56,62,M,55,58,3, 0,605,1709,RA BR,M,M,M,0.19,29.23,29.88,6.5,21,7.3,664,365,1029
2,2007-10-17,74,50,62,M,53,57,3, 0,606,1707,RA HZ,M,M,M,0.11,29.13,29.83,8.6,14,9.1,661,366,1027
2,2007-10-18,79,60,70,M,57,62,0, 5,607,1706,TSRA RA BR,M,M,M,0.34,28.67,29.34,15.5,19,17.2,659,367,1026
2,2007-10-19,61,53,57,M,48,52,8, 0,608,1704,RA DZ,M,M,M,  T,28.82,29.45,17.7,24,18.0,656,368,1024
2,2007-10-20,74,47,61,M,43,52,4, 0,610,1703, ,M,M,M,0.00,29.10,29.72,11.1,21,11.7,653,370,1023
2,2007-10-21,79,61,70,M,46,56,0, 5,611,1701, ,M,M,M,0.00,29.15,29.78,16.7,20,16.8,650,371,1021
2,2007-10-22,66,47,57,M,47,51,8, 0,612,1660,RA DZ BR,M,M,M,0.15,29.32,29.96,5.8,1,10.3,648,372,1020
2,2007-10-23,53,46,50,M,39,45,15, 0,613,1658,RA,M,M,M,0.03,29.26,29.93,4.0,31,7.9,645,373,1018
2,2007-10-24,53,45,49,M,35,43,16, 0,614,1657, ,M,M,M,0.00,29.51,30.16,16.0,2,17.3,643,374,1017
2,2007-10-25,57,45,51,M,40,46,14, 0,616,1656,RA,M,M,M,  T,29.52,30.20,14.5,6,14.7,640,376,1016
2,2007-10-26,66,53,60,M,49,52,5, 0,617,1654,RA BR,M,M,M,0.41,29.38,30.06,4.2,6,7.2,637,377,1014
2,2007-10-27,57,39,48,M,41,46,17, 0,618,1653,RA BR HZ,M,M,M,0.08,29.62,30.25,7.9,31,9.1,635,378,1013
2,2007-10-28,56,34,45,M,30,39,20, 0,619,1651, ,M,M,M,0.00,29.86,30.53,3.5,23,4.1,632,379,1011
2,2007-10-29,60,39,50,M,32,42,15, 0,620,1650, ,M,M,M,0.00,29.70,30.41,9.1,22,9.3,630,380,1010
2,2007-10-30,66,42,54,M,37,46,11, 0,622,1649, ,M,M,M,0.00,29.51,30.22,10.8,20,10.9,627,382,1009
2,2007-10-31,63,43,53,M,38,46,12, 0,623,1647, ,M,M,M,0.00,29.36,30.03,12.2,25,15.0,624,383,1007
2,2008-05-01,73,48,61,M,51,57,4, 0,448,1849, ,M,M,M,  T,29.01,29.67,9.8,17,10.4,841,288,1129
2,2008-05-02,74,55,65,M,56,60,0, 0,447,1850,TSRA RA BR,M,M,M,0.74,28.85,29.52,11.9,19,13.0,843,287,1130
2,2008-05-03,56,44,50,M,42,46,15, 0,446,1851,RA BR,M,M,M,0.01,29.08,29.69,11.2,25,12.7,845,286,1131
2,2008-05-04,66,39,53,M,33,45,12, 0,444,1852, ,M,M,M,0.00,29.38,30.02,5.1,23,5.6,848,284,1132
2,2008-05-05,74,50,62,M,38,50,3, 0,443,1853, ,M,M,M,0.00,29.34,29.99,3.7,23,6.2,850,283,1133
2,2008-05-06,82,52,67,M,43,55,0, 2,442,1855, ,M,M,M,0.00,29.23,29.88,6.9,22,8.8,853,282,1135
2,2008-05-07,71,50,61,M,53,56,4, 0,441,1856,RA BR,M,M,M,0.71,29.03,29.69,1.9,22,11.1,855,281,1136
2,2008-05-08,59,47,53,M,36,45,12, 0,439,1857, ,M,M,M,0.00,29.14,29.81,14.3,5,15.0,858,279,1137
2,2008-05-09,58,42,50,M,35,44,15, 0,438,1858, ,M,M,M,0.00,29.20,29.85,6.5,3,7.0,860,278,1138
2,2008-05-10,61,41,51,M,39,46,14, 0,437,1859, ,M,M,M,0.00,29.15,29.84,6.0,8,6.6,862,277,1139
2,2008-05-11,60,47,54,M,44,48,11, 0,436,1860,RA BR,M,M,M,1.46,28.89,29.53,14.3,2,17.8,864,276,1140
2,2008-05-12,53,41,47,M,39,43,18, 0,435,1901, ,M,M,M,0.00,29.32,29.96,4.9,6,7.6,866,275,1141
2,2008-05-13,73,45,59,M,45,52,6, 0,434,1902,TSRA RA,M,M,M,0.32,29.28,29.95,13.7,18,14.4,868,274,1142
