AvgSpeed,CodeSum,Cool,Date,Daytime,Depart,Depth,DewPoint,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,SnowFall,Station,StnPressure,Sunrise,Sunrise_min,Sunset,Sunset_min,Tavg,Tmax,Tmin,Water1,WetBulb
7.6,RA BR,0,2007-06-05,906,-9,0,48,9,0.42,5,5.2,29.79,0.0,1,29.10,417,257,1923,1163,56,64,47,M,51
11.4,RA,0,2007-06-06,906,-8,0,48,7,0.01,17,10.8,29.81,0.0,1,29.07,417,257,1923,1163,58,71,44,M,55
23.1, ,16,2007-06-07,907,15,0,62,0,0.00,20,22.7,29.55,0.0,1,28.84,417,257,1924,1164,81,91,71,M,69
13.8, ,4,2007-06-08,908,3,0,53,0,0.00,28,10.9,29.85,0.0,1,29.18,417,257,1925,1165,69,81,57,M,61
5.0, ,1,2007-06-09,909,0,0,47,0,0.00,33,0.3,30.07,0.0,1,29.36,416,256,1925,1165,66,79,52,M,57
5.6, ,3,2007-06-10,910,1,0,51,0,0.00,17,4.8,30.05,0.0,1,29.34,416,256,1926,1166,68,81,55,M,59
6.9, ,7,2007-06-11,910,5,0,52,0,0.00,11,4.9,30.11,0.0,1,29.41,416,256,1926,1166,72,86,58,M,61
8.8, ,8,2007-06-12,911,5,0,50,0,0.00,5,8.3,30.16,0.0,1,29.44,416,256,1927,1167,73,83,62,M,60
8.6, ,9,2007-06-13,911,6,0,53,0,0.00,5,7.2,30.09,0.0,1,29.36,416,256,1927,1167,74,87,60,M,62
6.8, ,12,2007-06-14,912,9,0,55,0,0.00,5,5.6,30.02,0.0,1,29.30,416,256,1928,1168,77,89,64,M,64
4.9, ,12,2007-06-15,912,9,0,56,0,0.00,6,4.1,29.99,0.0,1,29.28,416,256,1928,1168,77,91,63,M,64
5.8,RA HZ,15,2007-06-16,913,11,0,60,0,  T,28,4.8,29.97,0.0,1,29.26,416,256,1929,1169,80,93,66,M,67
6.3,HZ,16,2007-06-17,913,12,0,64,0,0.00,11,2.8,29.95,0.0,1,29.23,416,256,1929,1169,81,91,70,M,70
15.1,TSRA RA HZ,14,2007-06-18,913,9,0,65,0,0.28,20,14.0,29.84,0.0,1,29.12,416,256,1929,1169,79,89,69,M,70
11.4,RA,8,2007-06-19,914,3,0,55,0,0.58,28,10.7,29.95,0.0,1,29.26,416,256,1930,1170,73,80,65,M,63
8.8, ,8,2007-06-20,914,3,0,52,0,0.00,27,7.8,30.10,0.0,1,29.39,416,256,1930,1170,73,84,61,M,61
10.7,RA,4,2007-06-21,914,-1,0,51,0,0.01,3,3.5,30.08,0.0,1,29.36,416,256,1930,1170,69,77,61,M,60
8.7,RA,4,2007-06-22,914,-1,0,50,0,  T,6,7.8,30.06,0.0,1,29.33,417,257,1931,1171,69,76,61,M,58
9.0,RA BR,0,2007-06-23,914,-5,0,58,0,0.05,12,7.6,29.96,0.0,1,29.23,417,257,1931,1171,65,67,62,M,61
8.0,BR HZ,5,2007-06-24,914,-1,0,62,0,0.00,9,7.0,29.97,0.0,1,29.26,417,257,1931,1171,70,77,63,M,65
6.8,BR HZ,12,2007-06-25,914,6,0,66,0,0.00,14,3.9,30.07,0.0,1,29.38,417,257,1931,1171,77,89,65,M,70
7.1,TSRA BR HZ VCTS,16,2007-06-26,913,10,0,69,0,0.16,22,6.1,30.11,0.0,1,29.39,418,258,1931,1171,81,92,70,M,72
8.8,TSRA,16,2007-06-27,913,10,0,70,0,0.15,24,7.5,30.02,0.0,1,29.29,418,258,1931,1171,81,91,71,M,72
12.5, ,1,2007-06-28,912,-5,0,55,0,0.00,3,11.9,30.09,0.0,1,29.41,419,259,1931,1171,66,74,58,M,60
8.3, ,0,2007-06-29,912,-8,0,55,2,0.00,2,7.6,30.13,0.0,1,29.41,419,259,1931,1171,63,70,56,M,59
5.8, ,2,2007-06-30,912,-5,0,46,0,0.00,3,4.9,30.13,0.0,1,29.41,419,259,1931,1171,67,79,54,M,56
8.6, ,0,2007-07-01,911,-7,0,52,0,0.00,4,8.6,30.23,0.0,1,29.51,420,260,1931,1171,65,75,54,M,58
8.1, ,1,2007-07-02,911,-6,0,50,0,0.00,14,5.9,30.22,0.0,1,29.49,420,260,1931,1171,66,79,53,M,58
7.3,TSRA RA BR,7,2007-07-03,910,0,0,57,0,0.40,21,6.7,30.06,0.0,1,29.31,421,261,1931,1171,72,83,60,M,63
8.2,TSRA BR HZ FU,12,2007-07-04,908,5,0,65,0,0.16,27,4.6,29.90,0.0,1,29.18,422,262,1930,1170,77,86,67,M,69
8.1,BR HZ FU,15,2007-07-05,908,8,0,60,0,0.00,31,6.4,29.94,0.0,1,29.24,422,262,1930,1170,80,89,71,M,67
5.5, ,11,2007-07-06,907,4,0,57,0,0.00,5,3.2,30.03,0.0,1,29.32,423,263,1930,1170,76,86,66,M,64
8.6, ,12,2007-07-07,907,5,0,63,0,0.00,22,8.4,29.91,0.0,1,29.18,423,263,1930,1170,77,90,64,M,69
13.1, ,20,2007-07-08,905,12,0,67,0,0.00,24,12.9,29.77,0.0,1,29.05,424,264,1929,1169,85,94,75,M,72
8.8,TSRA RA VCTS,17,2007-07-09,904,9,0,66,0,0.30,24,4.9,29.80,0.0,1,29.11,425,265,1929,1169,82,94,70,M,70
10.5,HZ VCTS,14,2007-07-10,904,6,0,67,0,0.43,23,8.6,29.77,0.0,1,29.06,425,265,1929,1169,79,89,69,M,70
10.9, ,5,2007-07-11,902,-3,0,51,0,0.00,30,8.8,29.93,0.0,1,29.23,426,266,1928,1168,70,77,62,M,59
11.1, ,6,2007-07-12,901,-2,0,51,0,0.00,29,9.4,29.93,0.0,1,29.22,427,267,1928,1168,71,80,61,M,59
5.3, ,3,2007-07-13,899,-5,0,52,0,0.00,1,1.4,29.98,0.0,1,29.26,428,268,1927,1167,68,78,58,M,58
13.2, ,8,2007-07-14,899,0,0,55,0,0.00,26,8.3,29.79,0.0,1,29.08,428,268,1927,1167,73,84,61,M,62
4.9, ,6,2007-07-15,897,-3,0,53,0,0.00,29,2.1,29.89,0.0,1,29.19,429,269,1926,1166,71,82,60,M,61
5.2,RA BR,9,2007-07-16,895,0,0,60,0,0.39,24,4.4,29.96,0.0,1,29.25,430,270,1925,1165,74,82,65,M,65
6.5,RA BR VCTS,11,2007-07-17,894,2,0,66,0,0.11,23,5.2,29.90,0.0,1,29.18,431,271,1925,1165,76,83,68,M,69
10.1,TSRA RA BR VCTS,12,2007-07-18,892,3,0,68,0,1.55,24,9.1,29.84,0.0,1,29.11,432,272,1924,1164,77,85,69,M,71
11.9,DZ BR,8,2007-07-19,890,-1,0,63,0,0.16,1,7.0,29.90,0.0,1,29.21,433,273,1923,1163,73,83,63,M,66
9.1, ,2,2007-07-20,890,-7,0,53,0,0.00,3,8.6,30.14,0.0,1,29.44,433,273,1923,1163,67,75,58,M,59
7.4, ,1,2007-07-21,888,-8,0,52,0,0.00,3,6.5,30.22,0.0,1,29.51,434,274,1922,1162,66,74,58,M,58
3.3, ,5,2007-07-22,886,-4,0,55,0,0.00,16,1.7,30.21,0.0,1,29.49,435,275,1921,1161,70,81,58,M,61
4.0, ,7,2007-07-23,884,-2,0,55,0,0.00,9,3.2,30.10,0.0,1,29.37,436,276,1920,1160,72,83,60,M,63
5.2, ,9,2007-07-24,882,0,0,58,0,0.00,20,3.1,30.04,0.0,1,29.32,437,277,1919,1159,74,82,65,M,64
6.6, ,13,2007-07-25,880,4,0,61,0,  T,25,5.8,30.00,0.0,1,29.29,438,278,1918,1158,78,85,71,M,67
9.4,TS TSRA RA BR HZ,10,2007-07-26,879,1,0,65,0,0.19,22,7.2,29.92,0.0,1,29.19,439,279,1918,1158,75,83,66,M,68
7.9,RA BR HZ,12,2007-07-27,877,3,0,68,0,0.17,3,3.0,29.82,0.0,1,29.11,440,280,1917,1157,77,83,70,M,70
10.2,BR HZ,8,2007-07-28,875,-1,0,65,0,0.00,3,10.0,29.93,0.0,1,29.23,441,281,1916,1156,73,80,66,M,68
5.7, ,9,2007-07-29,873,0,0,57,0,0.00,5,4.8,29.99,0.0,1,29.28,442,282,1915,1155,74,85,63,M,64
4.3, ,11,2007-07-30,871,2,0,55,0,0.00,6,3.8,30.03,0.0,1,29.33,443,283,1914,1154,76,89,62,M,64
4.9, ,15,2007-07-31,869,6,0,61,0,0.00,4,3.3,30.04,0.0,1,29.33,444,284,1913,1153,80,91,68,M,68
4.1,HZ,16,2007-08-01,866,8,0,62,0,0.00,9,3.5,30.00,0.0,1,29.29,445,285,1911,1151,81,92,69,M,69
5.9,HZ,16,2007-08-02,864,8,0,66,0,0.00,26,5.5,29.97,0.0,1,29.26,446,286,1910,1150,81,91,70,M,71
5.7, ,15,2007-08-03,862,7,0,56,0,0.00,3,2.7,30.02,0.0,1,29.31,447,287,1909,1149,80,90,69,M,66
6.1,RA,8,2007-08-04,860,0,0,58,0,0.03,8,5.7,30.03,0.0,1,29.31,448,288,1908,1148,73,81,64,M,64
9.6,TSRA RA BR HZ,13,2007-08-05,858,5,0,71,0,1.43,21,5.4,29.81,0.0,1,29.08,449,289,1907,1147,78,88,67,M,73
4.9,TSRA RA BR HZ,16,2007-08-06,856,8,0,72,0,0.26,10,1.6,29.83,0.0,1,29.13,450,290,1906,1146,81,88,74,M,74
9.0,RA BR,17,2007-08-07,853,9,0,73,0,1.31,25,6.2,29.76,0.0,1,29.06,451,291,1904,1144,82,91,72,M,76
6.9,TSRA RA BR,15,2007-08-08,851,7,0,71,0,0.06,3,3.0,29.83,0.0,1,29.13,452,292,1903,1143,80,87,73,M,73
6.0,TSRA RA,13,2007-08-09,849,5,0,71,0,0.05,29,2.5,29.84,0.0,1,29.13,453,293,1902,1142,78,84,72,M,73
5.9,BR,13,2007-08-10,846,5,0,68,0,0.00,2,4.5,29.96,0.0,1,29.26,454,294,1900,1140,78,86,70,M,72
3.9,BR HZ,13,2007-08-11,844,5,0,65,0,0.00,19,3.2,30.02,0.0,1,29.31,455,295,1859,1139,78,89,67,M,70
5.4,TSRA,13,2007-08-12,842,5,0,67,0,0.29,6,1.7,30.06,0.0,1,29.34,456,296,1858,1138,78,88,67,M,71
6.9,BR,8,2007-08-13,839,0,0,57,0,0.00,6,6.2,30.11,0.0,1,29.39,457,297,1856,1136,73,81,65,M,64
8.0,TS TSRA RA BR,10,2007-08-14,837,3,0,67,0,0.41,25,5.9,29.93,0.0,1,29.23,458,298,1855,1135,75,84,65,M,70
5.8,TSRA RA BR,11,2007-08-15,835,4,0,67,0,0.23,7,3.4,29.89,0.0,1,29.17,459,299,1854,1134,76,80,71,M,70
5.7,BR,6,2007-08-16,832,-1,0,64,0,0.00,1,3.6,29.97,0.0,1,29.28,500,300,1852,1132,71,77,65,M,67
6.8, ,5,2007-08-17,830,-2,0,54,0,0.00,32,5.9,30.10,0.0,1,29.41,501,301,1851,1131,70,79,60,M,61
8.1,RA,0,2007-08-18,827,-8,0,54,1,0.09,12,6.4,30.16,0.0,1,29.44,502,302,1849,1129,64,68,59,M,58
7.4,TS RA BR,0,2007-08-19,825,-6,0,62,0,1.33,10,6.0,29.99,0.0,1,29.24,503,303,1848,1128,65,68,62,M,64
5.7,TSRA RA BR,8,2007-08-20,822,2,0,68,0,0.91,12,0.5,29.87,0.0,1,29.15,504,304,1846,1126,73,78,68,M,69
6.0,BR HZ,13,2007-08-21,820,7,0,70,0,  T,18,3.8,29.91,0.0,1,29.21,505,305,1845,1125,78,87,69,M,72
9.5,TS TSRA RA,15,2007-08-22,817,9,0,71,0,0.37,21,5.3,29.94,0.0,1,29.23,506,306,1843,1123,80,90,69,M,73
11.7,TS TSRA RA BR VCTS,13,2007-08-23,814,7,0,69,0,2.35,21,9.6,29.87,0.0,1,29.15,508,308,1842,1122,78,87,69,M,71
7.1,TSRA RA,10,2007-08-24,811,4,0,67,0,0.24,25,5.8,29.82,0.0,1,29.11,509,309,1840,1120,75,80,69,M,69
5.6,RA,7,2007-08-25,809,2,0,63,0,0.34,36,3.0,29.93,0.0,1,29.23,510,310,1839,1119,72,79,64,M,66
5.4, ,5,2007-08-26,806,0,0,55,0,0.00,11,3.6,30.08,0.0,1,29.38,511,311,1837,1117,70,79,60,M,61
7.4, ,5,2007-08-27,803,0,0,60,0,0.00,17,6.5,30.07,0.0,1,29.36,512,312,1835,1115,70,79,60,M,64
9.5, ,14,2007-08-28,801,9,0,66,0,0.00,20,9.0,29.99,0.0,1,29.28,513,313,1834,1114,79,91,67,M,70
8.2, ,12,2007-08-29,798,7,0,65,0,  T,3,5.6,30.04,0.0,1,29.34,514,314,1832,1112,77,85,68,M,69
9.9, ,1,2007-08-30,796,-4,0,54,0,0.00,2,9.1,30.18,0.0,1,29.47,515,315,1831,1111,66,75,57,M,60
5.2, ,2,2007-08-31,793,-2,0,52,0,0.00,4,3.9,30.19,0.0,1,29.47,516,316,1829,1109,67,77,57,M,59
5.0, ,4,2007-09-01,790,1,0,55,0,0.00,11,4.2,30.22,0.0,1,29.49,517,317,1827,1107,69,81,57,M,61
5.0, ,8,2007-09-02,788,5,0,57,0,0.00,21,4.2,30.15,0.0,1,29.41,518,318,1826,1106,73,85,61,M,63
5.8, ,12,2007-09-03,785,9,0,61,0,0.00,27,2.0,30.09,0.0,1,29.36,519,319,1824,1104,77,88,66,M,67
4.3, ,11,2007-09-04,782,8,0,60,0,0.00,22,2.8,30.00,0.0,1,29.28,520,320,1822,1102,76,89,63,M,66
6.5,RA,13,2007-09-05,780,11,0,63,0,  T,19,6.4,29.96,0.0,1,29.24,521,321,1821,1101,78,90,66,M,69
12.1,RA HZ,13,2007-09-06,777,11,0,67,0,0.18,20,11.9,29.92,0.0,1,29.21,522,322,1819,1099,78,82,73,M,70
13.9,TSRA RA BR HZ,12,2007-09-07,774,10,0,68,0,0.19,23,10.4,29.85,0.0,1,29.15,523,323,1817,1097,77,84,70,M,70
7.2, ,6,2007-09-08,771,5,0,57,0,0.00,5,6.0,30.00,0.0,1,29.30,524,324,1815,1095,71,78,64,M,63
9.9, ,7,2007-09-09,769,6,0,59,0,0.00,3,9.2,30.06,0.0,1,29.36,525,325,1814,1094,72,80,63,M,63
9.0,RA BR,0,2007-09-10,766,-2,0,58,1,0.36,2,7.2,30.04,0.0,1,29.30,526,326,1812,1092,64,74,54,M,60
13.5, ,0,2007-09-11,763,-4,0,44,4,  T,29,11.7,29.92,0.0,1,29.20,527,327,1810,1090,61,71,50,M,52
5.6, ,0,2007-09-12,761,-8,0,42,8,0.00,3,1.8,30.12,0.0,1,29.40,528,328,1809,1089,57,67,46,M,49
8.5, ,0,2007-09-13,758,-1,0,45,1,0.00,19,8.3,29.99,0.0,1,29.23,529,329,1807,1087,64,78,50,M,54
13.4, ,0,2007-09-14,755,-8,0,39,9,0.00,32,12.1,30.05,0.0,1,29.36,530,330,1805,1085,56,66,45,M,48
5.9, ,0,2007-09-15,752,-14,0,33,15,0.00,33,1.4,30.28,0.0,1,29.56,531,331,1803,1083,50,61,39,M,43
7.4, ,0,2007-09-16,748,-6,0,40,7,0.00,18,6.8,30.19,0.0,1,29.46,532,332,1760,1080,58,71,44,M,49
12.1, ,1,2007-09-17,745,2,0,49,0,0.00,17,11.7,30.12,0.0,1,29.39,533,333,1758,1078,66,80,52,M,57
13.1, ,11,2007-09-18,741,12,0,58,0,0.00,19,12.9,30.06,0.0,1,29.34,535,335,1756,1076,76,88,63,M,65
9.7, ,10,2007-09-19,739,12,0,59,0,0.00,26,5.0,30.11,0.0,1,29.41,536,336,1755,1075,75,84,65,M,65
6.6, ,4,2007-09-20,736,7,0,59,0,0.00,7,5.3,30.12,0.0,1,29.39,537,337,1753,1073,69,78,60,M,63
12.4,HZ,11,2007-09-21,733,14,0,59,0,0.00,21,10.3,29.90,0.0,1,29.18,538,338,1751,1071,76,88,64,M,66
6.8, ,0,2007-09-22,730,1,0,43,2,0.00,3,2.6,30.12,0.0,1,29.42,539,339,1749,1069,63,74,51,M,53
5.3, ,2,2007-09-23,728,6,0,50,0,0.00,13,4.6,30.16,0.0,1,29.43,540,340,1748,1068,67,84,50,M,58
11.9, ,14,2007-09-24,725,18,0,63,0,0.00,19,11.4,29.99,0.0,1,29.27,541,341,1746,1066,79,90,68,M,68
10.5,TS RA,9,2007-09-25,722,13,0,65,0,0.27,23,7.9,29.95,0.0,1,29.23,542,342,1744,1064,74,85,63,M,69
6.6,RA,0,2007-09-26,719,1,0,50,4,0.09,1,4.3,30.03,0.0,1,29.31,543,343,1742,1062,61,69,53,M,55
6.5,BR,0,2007-09-27,717,2,0,49,3,  T,24,4.9,29.97,0.0,1,29.26,544,344,1741,1061,62,75,49,M,55
7.1, ,0,2007-09-28,714,4,0,46,2,0.00,4,2.3,30.17,0.0,1,29.47,545,345,1739,1059,63,73,53,M,53
9.8, ,0,2007-09-29,711,6,0,46,0,0.00,17,9.5,30.23,0.0,1,29.50,546,346,1737,1057,65,80,50,M,55
14.6,TSRA BR,6,2007-09-30,708,12,0,49,0,0.14,19,14.4,30.10,0.0,1,29.36,547,347,1735,1055,71,83,59,M,59
8.1,RA DZ FG+ BCFG BR,0,2007-10-01,706,6,0,59,1,0.29,22,6.1,30.00,0.0,1,29.28,548,348,1734,1054,64,69,59,M,61
11.1,RA FG+ MIFG BR,3,2007-10-02,703,10,0,59,0,0.09,19,10.8,29.92,0.0,1,29.18,549,349,1732,1052,68,78,57,M,63
7.1, ,0,2007-10-03,700,8,0,48,0,0.00,26,5.9,29.98,0.0,1,29.28,550,350,1730,1050,65,74,55,M,56
4.6,HZ,2,2007-10-04,697,10,0,56,0,0.00,17,3.9,30.04,0.0,1,29.34,552,352,1729,1049,67,82,51,M,61
7.0,HZ,8,2007-10-05,694,16,0,65,0,0.00,17,7.0,30.08,0.0,1,29.36,553,353,1727,1047,73,84,62,M,68
7.4, ,13,2007-10-06,691,22,0,67,0,0.00,20,6.9,30.04,0.0,1,29.33,554,354,1725,1045,78,87,69,M,70
5.9, ,12,2007-10-07,689,21,0,66,0,0.00,19,5.2,30.03,0.0,1,29.31,555,355,1724,1044,77,87,67,M,70
10.1, ,9,2007-10-08,686,18,0,61,0,0.00,24,7.7,29.93,0.0,1,29.23,556,356,1722,1042,74,87,60,M,66
12.8, ,0,2007-10-09,683,8,0,44,2,0.00,28,11.5,29.94,0.0,1,29.21,557,357,1720,1040,63,76,49,M,53
15.5,RA DZ,0,2007-10-10,681,-4,0,38,14,  T,31,15.1,29.93,0.0,1,29.21,558,358,1719,1039,51,54,47,M,44
12.9, ,0,2007-10-11,678,-4,0,39,15,0.00,36,11.9,30.01,0.0,1,29.28,559,359,1717,1037,50,54,46,M,45
4.6, ,0,2007-10-12,675,-5,0,35,16,0.00,35,3.4,30.02,0.0,1,29.28,600,360,1715,1035,49,56,41,M,43
3.5, ,0,2007-10-13,672,-3,0,41,15,0.00,20,2.7,30.04,0.0,1,29.31,602,362,1714,1034,50,59,40,M,47
6.6,RA,0,2007-10-14,669,4,0,49,8,0.15,11,5.6,30.06,0.0,1,29.34,603,363,1712,1032,57,61,53,M,53
5.6,RA BR,0,2007-10-15,667,10,0,52,2,0.07,14,4.1,29.95,0.0,1,29.21,604,364,1711,1031,63,74,51,M,57
7.5,RA DZ BR,0,2007-10-16,664,8,0,54,5,0.24,21,6.4,29.88,0.0,1,29.16,605,365,1709,1029,60,67,52,M,57
9.8,RA HZ,0,2007-10-17,661,8,0,53,5,0.04,14,9.3,29.83,0.0,1,29.07,606,366,1707,1027,60,72,47,M,57
18.9,RA BR,4,2007-10-18,659,18,0,56,0,0.30,19,17.2,29.34,0.0,1,28.59,607,367,1706,1026,69,78,59,M,61
16.7,RA BR,0,2007-10-19,656,5,0,48,9,0.01,24,16.2,29.44,0.0,1,28.75,608,368,1704,1024,56,60,52,M,52
12.0, ,0,2007-10-20,653,10,0,43,5,0.00,21,10.9,29.71,0.0,1,29.02,610,370,1703,1023,60,73,47,M,52
18.2, ,5,2007-10-21,650,20,0,47,0,0.00,20,18.0,29.78,0.0,1,29.08,611,371,1701,1021,70,80,60,M,57
9.2,RA DZ BR,0,2007-10-22,648,7,0,47,8,0.16,36,5.2,29.97,0.0,1,29.26,612,372,1660,1020,57,67,46,M,50
8.2, ,0,2007-10-23,645,2,0,36,14,0.00,31,5.2,29.93,0.0,1,29.20,613,373,1658,1018,51,58,43,M,44
14.5, ,0,2007-10-24,643,0,0,35,16,0.00,2,13.3,30.16,0.0,1,29.46,614,374,1657,1017,49,55,43,M,42
14.1,RA,0,2007-10-25,640,2,0,39,15,  T,6,13.9,30.20,0.0,1,29.47,616,376,1656,1016,50,55,45,M,46
6.9,RA BR,0,2007-10-26,637,11,0,48,6,0.33,5,6.2,30.07,0.0,1,29.31,617,377,1654,1014,59,65,53,M,52
9.9,RA BR,0,2007-10-27,635,-2,0,38,19,0.01,32,9.4,30.25,0.0,1,29.56,618,378,1653,1013,46,55,37,M,45
4.2, ,0,2007-10-28,632,-2,0,30,20,0.00,23,3.4,30.52,0.0,1,29.79,619,379,1651,1011,45,56,34,M,39
10.4, ,0,2007-10-29,630,3,0,32,15,0.00,22,10.2,30.40,0.0,1,29.63,620,380,1650,1010,50,61,39,M,42
12.5, ,0,2007-10-30,627,8,0,38,11,0.00,20,12.2,30.20,0.0,1,29.43,622,382,1649,1009,54,66,41,M,46
14.3, ,0,2007-10-31,624,6,0,37,13,0.00,25,12.2,30.02,0.0,1,29.30,623,383,1647,1007,52,62,41,M,46
11.5, ,0,2008-05-01,841,8,0,51,4,0.00,16,10.6,29.67,0.0,1,28.95,448,288,1849,1129,61,74,48,M,56
15.1,TSRA RA BR,0,2008-05-02,843,9,0,55,2,1.28,20,13.8,29.53,0.0,1,28.79,447,287,1850,1130,63,74,51,M,58
12.7,RA,0,2008-05-03,845,-4,0,41,15,  T,25,10.4,29.69,0.0,1,29.01,446,286,1851,1131,50,56,43,M,46
6.3, ,0,2008-05-04,848,-2,0,34,13,0.00,24,5.6,30.02,0.0,1,29.31,444,284,1852,1132,52,65,38,M,45
7.0, ,0,2008-05-05,850,8,0,38,2,0.00,26,4.4,29.99,0.0,1,29.27,443,283,1853,1133,63,75,50,M,50
7.1, ,0,2008-05-06,853,9,0,44,1,0.00,22,6.3,29.88,0.0,1,29.16,442,282,1855,1135,64,81,46,M,55
12.3,RA BR,0,2008-05-07,855,5,0,52,5,0.76,23,3.5,29.69,0.0,1,28.97,441,281,1856,1136,60,70,49,M,56
12.6, ,0,2008-05-08,858,-4,0,35,13,0.00,5,12.2,29.82,0.0,1,29.08,439,279,1857,1137,52,59,45,M,44
